ID,Data,Fam,Loc,Year,Mean_GLD,Mean_HT,Mean_DBH,Mean_CHT
WDT_AGH2_Tech_Initial,WDT,AGH2,Tech,Initial,4.770277778,0.451111111,NA,NA
WDT_AGH2_Tech_First,WDT,AGH2,Tech,First,10.456,0.6965,NA,NA
WDT_AGH2_Tech_Second,WDT,AGH2,Tech,Second,36.11964286,1.618214286,NA,NA
WDT_AGH2_Tech_Third,WDT,AGH2,Tech,Third,NA,2.699657143,1.8415,NA
WDT_AGH2_Tech_Fourth,WDT,AGH2,Tech,Fourth,NA,4.387283036,5.245892857,NA
WDT_AGH2_Tech_Fifth,WDT,AGH2,Tech,Fifth,NA,6.048148148,8.137407407,1.224642825
WDT_AGH2_Tech_Sixth,WDT,AGH2,Tech,Sixth,NA,7.249885714,10.033,1.821428571
WDT_AGH2_Tech_Seventh,WDT,AGH2,Tech,Seventh,NA,8.432074286,11.70214286,2.854016571
WDT_AGH2_HF_Initial,WDT,AGH2,HF,Initial,5.44,0.424285714,NA,NA
WDT_AGH2_HF_First,WDT,AGH2,HF,First,12.56566667,0.695433333,NA,NA
WDT_AGH2_HF_Second,WDT,AGH2,HF,Second,33.38851852,1.561111111,NA,NA
WDT_AGH2_HF_Third,WDT,AGH2,HF,Third,NA,2.318004,1.5816072,NA
WDT_AGH2_HF_Fourth,WDT,AGH2,HF,Fourth,NA,3.280664,3.56092,NA
WDT_AGH2_HF_Fifth,WDT,AGH2,HF,Fifth,NA,4.973515385,6.183923077,0.462280016
WDT_AGH2_HF_Sixth,WDT,AGH2,HF,Sixth,NA,5.407152,8.8392,0.966184
WDT_AGH2_HF_Seventh,WDT,AGH2,HF,Seventh,NA,8.332978,10.245,1.7532096
WDT_AGH25_Tech_Initial,WDT,AGH25,Tech,Initial,4.856388889,0.404305556,NA,NA
WDT_AGH25_Tech_First,WDT,AGH25,Tech,First,10.70575758,0.674727273,NA,NA
WDT_AGH25_Tech_Second,WDT,AGH25,Tech,Second,42.08242424,1.760606061,NA,NA
WDT_AGH25_Tech_Third,WDT,AGH25,Tech,Third,NA,2.859424242,1.924242424,NA
WDT_AGH25_Tech_Fourth,WDT,AGH25,Tech,Fourth,NA,4.790074394,5.639090909,NA
WDT_AGH25_Tech_Fifth,WDT,AGH25,Tech,Fifth,NA,6.606060606,8.497454545,1.032933367
WDT_AGH25_Tech_Sixth,WDT,AGH25,Tech,Sixth,NA,7.878618182,10.36012121,2.403987879
WDT_AGH25_Tech_Seventh,WDT,AGH25,Tech,Seventh,NA,8.558414545,11.76866667,2.98196
WDT_AGH25_HF_Initial,WDT,AGH25,HF,Initial,5.12,0.417222222,NA,NA
WDT_AGH25_HF_First,WDT,AGH25,HF,First,13.36612903,0.716129032,NA,NA
WDT_AGH25_HF_Second,WDT,AGH25,HF,Second,33.399375,1.5821875,NA,NA
WDT_AGH25_HF_Third,WDT,AGH25,HF,Third,NA,2.37546931,1.565778621,NA
WDT_AGH25_HF_Fourth,WDT,AGH25,HF,Fourth,NA,3.4925,3.7402,NA
WDT_AGH25_HF_Fifth,WDT,AGH25,HF,Fifth,NA,5.315796667,6.5532,0.496993337
WDT_AGH25_HF_Sixth,WDT,AGH25,HF,Sixth,NA,5.34924,8.771466667,1.228706667
WDT_AGH25_HF_Seventh,WDT,AGH25,HF,Seventh,NA,8.280654,9.986533333,1.299972
WDT_AGHS1_Tech_Initial,WDT,AGHS1,Tech,Initial,4.556388889,0.506611111,NA,NA
WDT_AGHS1_Tech_First,WDT,AGHS1,Tech,First,12.34527778,0.949055556,NA,NA
WDT_AGHS1_Tech_Second,WDT,AGHS1,Tech,Second,47.48638889,2.492777778,NA,NA
WDT_AGHS1_Tech_Third,WDT,AGHS1,Tech,Third,NA,3.898194444,3.534611111,NA
WDT_AGHS1_Tech_Fourth,WDT,AGHS1,Tech,Fourth,NA,6.0563125,6.618055556,NA
WDT_AGHS1_Tech_Fifth,WDT,AGHS1,Tech,Fifth,NA,7.530555556,8.960555556,2.006600006
WDT_AGHS1_Tech_Sixth,WDT,AGHS1,Tech,Sixth,NA,9.771017143,11.03085714,5.264191429
WDT_AGHS1_Tech_Seventh,WDT,AGHS1,Tech,Seventh,NA,9.480150857,12.16297143,6.0579
WDT_AGHS1_HF_Initial,WDT,AGHS1,HF,Initial,5.666571429,0.566285714,NA,NA
WDT_AGHS1_HF_First,WDT,AGHS1,HF,First,15.81242424,1.010666667,NA,NA
WDT_AGHS1_HF_Second,WDT,AGHS1,HF,Second,41.36363636,2.206666667,NA,NA
WDT_AGHS1_HF_Third,WDT,AGHS1,HF,Third,NA,3.108421212,2.895138182,NA
WDT_AGHS1_HF_Fourth,WDT,AGHS1,HF,Fourth,NA,4.635884848,5.203242424,NA
WDT_AGHS1_HF_Fifth,WDT,AGHS1,HF,Fifth,NA,6.079066667,6.981151515,0.843433921
WDT_AGHS1_HF_Sixth,WDT,AGHS1,HF,Sixth,NA,6.525490909,9.374909091,2.838960606
WDT_AGHS1_HF_Seventh,WDT,AGHS1,HF,Seventh,NA,9.714921931,10.56,3.7808535
WDT_AGHS2_Tech_Initial,WDT,AGHS2,Tech,Initial,4.525,0.449083333,NA,NA
WDT_AGHS2_Tech_First,WDT,AGHS2,Tech,First,13.38805556,0.9995,NA,NA
WDT_AGHS2_Tech_Second,WDT,AGHS2,Tech,Second,51.25583333,2.741111111,NA,NA
WDT_AGHS2_Tech_Third,WDT,AGHS2,Tech,Third,NA,4.022372222,3.958166667,NA
WDT_AGHS2_Tech_Fourth,WDT,AGHS2,Tech,Fourth,NA,6.319537639,6.896944444,NA
WDT_AGHS2_Tech_Fifth,WDT,AGHS2,Tech,Fifth,NA,7.752777778,9.193388889,2.671938937
WDT_AGHS2_Tech_Sixth,WDT,AGHS2,Tech,Sixth,NA,9.846733333,10.9855,5.547477778
WDT_AGHS2_Tech_Seventh,WDT,AGHS2,Tech,Seventh,NA,9.567333333,12.43188889,6.246198667
WDT_AGHS2_HF_Initial,WDT,AGHS2,HF,Initial,4.871142857,0.466428571,NA,NA
WDT_AGHS2_HF_First,WDT,AGHS2,HF,First,15.49529412,0.940735294,NA,NA
WDT_AGHS2_HF_Second,WDT,AGHS2,HF,Second,39.57939394,2.266060606,NA,NA
WDT_AGHS2_HF_Third,WDT,AGHS2,HF,Third,NA,3.012593939,2.593878788,NA
WDT_AGHS2_HF_Fourth,WDT,AGHS2,HF,Fourth,NA,4.871412121,5.101848485,NA
WDT_AGHS2_HF_Fifth,WDT,AGHS2,HF,Fifth,NA,6.570302667,7.312121212,0.941339437
WDT_AGHS2_HF_Sixth,WDT,AGHS2,HF,Sixth,NA,6.622472727,9.667393939,3.517157576
WDT_AGHS2_HF_Seventh,WDT,AGHS2,HF,Seventh,NA,9.820764857,10.8404375,4.46693925
WDT_AGHS3_Tech_Initial,WDT,AGHS3,Tech,Initial,4.862222222,0.513194444,NA,NA
WDT_AGHS3_Tech_First,WDT,AGHS3,Tech,First,12.25666667,0.880454545,NA,NA
WDT_AGHS3_Tech_Second,WDT,AGHS3,Tech,Second,46.81647059,2.177058824,NA,NA
WDT_AGHS3_Tech_Third,WDT,AGHS3,Tech,Third,NA,3.215793939,2.616969697,NA
WDT_AGHS3_Tech_Fourth,WDT,AGHS3,Tech,Fourth,NA,5.498638182,6.421727273,NA
WDT_AGHS3_Tech_Fifth,WDT,AGHS3,Tech,Fifth,NA,6.903225806,9.316064516,1.864206076
WDT_AGHS3_Tech_Sixth,WDT,AGHS3,Tech,Sixth,NA,9.090211765,11.41505882,4.583645455
WDT_AGHS3_Tech_Seventh,WDT,AGHS3,Tech,Seventh,NA,9.379527273,12.59224242,4.892963636
WDT_AGHS3_HF_Initial,WDT,AGHS3,HF,Initial,5.345555556,0.545638889,NA,NA
WDT_AGHS3_HF_First,WDT,AGHS3,HF,First,14.49424242,0.874454545,NA,NA
WDT_AGHS3_HF_Second,WDT,AGHS3,HF,Second,35.8446875,1.9615625,NA,NA
WDT_AGHS3_HF_Third,WDT,AGHS3,HF,Third,NA,2.38363125,2.027089333,NA
WDT_AGHS3_HF_Fourth,WDT,AGHS3,HF,Fourth,NA,3.92668125,4.52425,NA
WDT_AGHS3_HF_Fifth,WDT,AGHS3,HF,Fifth,NA,5.420479063,7.1675625,0.56514999
WDT_AGHS3_HF_Sixth,WDT,AGHS3,HF,Sixth,NA,5.8626375,9.8504375,2.2906875
WDT_AGHS3_HF_Seventh,WDT,AGHS3,HF,Seventh,NA,8.539734,10.23535484,3.145339355
WDT_AGHS4_Tech_Initial,WDT,AGHS4,Tech,Initial,4.805833333,0.550472222,NA,NA
WDT_AGHS4_Tech_First,WDT,AGHS4,Tech,First,13.36138889,0.991138889,NA,NA
WDT_AGHS4_Tech_Second,WDT,AGHS4,Tech,Second,48.30722222,2.381666667,NA,NA
WDT_AGHS4_Tech_Third,WDT,AGHS4,Tech,Third,NA,3.603272222,3.851833333,NA
WDT_AGHS4_Tech_Fourth,WDT,AGHS4,Tech,Fourth,NA,5.825913333,7.589722222,NA
WDT_AGHS4_Tech_Fifth,WDT,AGHS4,Tech,Fifth,NA,7.388888889,10.69622222,1.618544447
WDT_AGHS4_Tech_Sixth,WDT,AGHS4,Tech,Sixth,NA,9.541933333,12.56594444,4.695608333
WDT_AGHS4_Tech_Seventh,WDT,AGHS4,Tech,Seventh,NA,9.4615,14.01233333,5.751127765
WDT_AGHS4_HF_Initial,WDT,AGHS4,HF,Initial,5.697272727,0.553333333,NA,NA
WDT_AGHS4_HF_First,WDT,AGHS4,HF,First,13.74147059,0.928176471,NA,NA
WDT_AGHS4_HF_Second,WDT,AGHS4,HF,Second,39.81529412,2.084411765,NA,NA
WDT_AGHS4_HF_Third,WDT,AGHS4,HF,Third,NA,2.845954545,2.945322424,NA
WDT_AGHS4_HF_Fourth,WDT,AGHS4,HF,Fourth,NA,4.551987879,6.133363636,NA
WDT_AGHS4_HF_Fifth,WDT,AGHS4,HF,Fifth,NA,6.354425758,8.451272727,0.49799393
WDT_AGHS4_HF_Sixth,WDT,AGHS4,HF,Sixth,NA,6.262254545,11.176,2.230484848
WDT_AGHS4_HF_Seventh,WDT,AGHS4,HF,Seventh,NA,9.718548,12.39,3.177124364
NDT_AGH2_Tech_Initial,NDT,AGH2,Tech,Initial,4.770277778,0.451111111,NA,NA
NDT_AGH2_Tech_First,NDT,AGH2,Tech,First,10.456,0.6965,NA,NA
NDT_AGH2_Tech_Second,NDT,AGH2,Tech,Second,36.11964286,1.618214286,NA,NA
NDT_AGH2_Tech_Third,NDT,AGH2,Tech,Third,NA,2.695903448,1.830551724,NA
NDT_AGH2_Tech_Fourth,NDT,AGH2,Tech,Fourth,NA,4.394528448,5.258793103,NA
NDT_AGH2_Tech_Fifth,NDT,AGH2,Tech,Fifth,NA,6.05,8.173357143,1.224455141
NDT_AGH2_Tech_Sixth,NDT,AGH2,Tech,Sixth,NA,7.249885714,10.033,1.833237931
NDT_AGH2_Tech_Seventh,NDT,AGH2,Tech,Seventh,NA,8.435602759,11.78034483,3.0934152
NDT_AGH2_HF_Initial,NDT,AGH2,HF,Initial,5.44,0.424285714,NA,NA
NDT_AGH2_HF_First,NDT,AGH2,HF,First,12.56566667,0.695433333,NA,NA
NDT_AGH2_HF_Second,NDT,AGH2,HF,Second,33.38851852,1.561111111,NA,NA
NDT_AGH2_HF_Third,NDT,AGH2,HF,Third,NA,2.297234615,1.54686,NA
NDT_AGH2_HF_Fourth,NDT,AGH2,HF,Fourth,NA,3.267807692,3.526923077,NA
NDT_AGH2_HF_Fifth,NDT,AGH2,HF,Fifth,NA,4.9911,6.150428571,0.46794617
NDT_AGH2_HF_Sixth,NDT,AGH2,HF,Sixth,NA,5.4102,8.831384615,0.956376923
NDT_AGH2_HF_Seventh,NDT,AGH2,HF,Seventh,NA,8.371918154,10.13007143,1.711569231
NDT_AGH25_Tech_Initial,NDT,AGH25,Tech,Initial,4.856388889,0.404305556,NA,NA
NDT_AGH25_Tech_First,NDT,AGH25,Tech,First,10.70575758,0.674727273,NA,NA
NDT_AGH25_Tech_Second,NDT,AGH25,Tech,Second,42.08242424,1.760606061,NA,NA
NDT_AGH25_Tech_Third,NDT,AGH25,Tech,Third,NA,2.859424242,1.924242424,NA
NDT_AGH25_Tech_Fourth,NDT,AGH25,Tech,Fourth,NA,4.790074394,5.639090909,NA
NDT_AGH25_Tech_Fifth,NDT,AGH25,Tech,Fifth,NA,6.606060606,8.497454545,1.016747089
NDT_AGH25_Tech_Sixth,NDT,AGH25,Tech,Sixth,NA,7.878618182,10.36012121,2.403987879
NDT_AGH25_Tech_Seventh,NDT,AGH25,Tech,Seventh,NA,8.558414545,11.76866667,2.98196
NDT_AGH25_HF_Initial,NDT,AGH25,HF,Initial,5.12,0.417222222,NA,NA
NDT_AGH25_HF_First,NDT,AGH25,HF,First,13.36612903,0.716129032,NA,NA
NDT_AGH25_HF_Second,NDT,AGH25,HF,Second,33.399375,1.5821875,NA,NA
NDT_AGH25_HF_Third,NDT,AGH25,HF,Third,NA,2.37546931,1.565778621,NA
NDT_AGH25_HF_Fourth,NDT,AGH25,HF,Fourth,NA,3.4925,3.7402,NA
NDT_AGH25_HF_Fifth,NDT,AGH25,HF,Fifth,NA,5.303274194,6.505677419,0.496993337
NDT_AGH25_HF_Sixth,NDT,AGH25,HF,Sixth,NA,5.34924,8.771466667,1.228706667
NDT_AGH25_HF_Seventh,NDT,AGH25,HF,Seventh,NA,8.280654,9.986533333,1.299972
NDT_AGHS1_Tech_Initial,NDT,AGHS1,Tech,Initial,4.556388889,0.506611111,NA,NA
NDT_AGHS1_Tech_First,NDT,AGHS1,Tech,First,12.34527778,0.949055556,NA,NA
NDT_AGHS1_Tech_Second,NDT,AGHS1,Tech,Second,47.48638889,2.492777778,NA,NA
NDT_AGHS1_Tech_Third,NDT,AGHS1,Tech,Third,NA,3.898194444,3.534611111,NA
NDT_AGHS1_Tech_Fourth,NDT,AGHS1,Tech,Fourth,NA,6.0563125,6.618055556,NA
NDT_AGHS1_Tech_Fifth,NDT,AGHS1,Tech,Fifth,NA,7.530555556,8.960555556,2.006600006
NDT_AGHS1_Tech_Sixth,NDT,AGHS1,Tech,Sixth,NA,9.771017143,11.03085714,5.264191429
NDT_AGHS1_Tech_Seventh,NDT,AGHS1,Tech,Seventh,NA,9.480150857,12.16297143,6.0579
NDT_AGHS1_HF_Initial,NDT,AGHS1,HF,Initial,5.666571429,0.566285714,NA,NA
NDT_AGHS1_HF_First,NDT,AGHS1,HF,First,15.81242424,1.010666667,NA,NA
NDT_AGHS1_HF_Second,NDT,AGHS1,HF,Second,41.36363636,2.206666667,NA,NA
NDT_AGHS1_HF_Third,NDT,AGHS1,HF,Third,NA,3.108421212,2.895138182,NA
NDT_AGHS1_HF_Fourth,NDT,AGHS1,HF,Fourth,NA,4.635884848,5.203242424,NA
NDT_AGHS1_HF_Fifth,NDT,AGHS1,HF,Fifth,NA,6.079066667,6.981151515,0.843433921
NDT_AGHS1_HF_Sixth,NDT,AGHS1,HF,Sixth,NA,6.525490909,9.374909091,2.838960606
NDT_AGHS1_HF_Seventh,NDT,AGHS1,HF,Seventh,NA,9.714921931,10.56,3.7808535
NDT_AGHS2_Tech_Initial,NDT,AGHS2,Tech,Initial,4.525,0.449083333,NA,NA
NDT_AGHS2_Tech_First,NDT,AGHS2,Tech,First,13.38805556,0.9995,NA,NA
NDT_AGHS2_Tech_Second,NDT,AGHS2,Tech,Second,51.25583333,2.741111111,NA,NA
NDT_AGHS2_Tech_Third,NDT,AGHS2,Tech,Third,NA,4.022372222,3.958166667,NA
NDT_AGHS2_Tech_Fourth,NDT,AGHS2,Tech,Fourth,NA,6.319537639,6.896944444,NA
NDT_AGHS2_Tech_Fifth,NDT,AGHS2,Tech,Fifth,NA,7.752777778,9.193388889,2.671938937
NDT_AGHS2_Tech_Sixth,NDT,AGHS2,Tech,Sixth,NA,9.846733333,10.9855,5.547477778
NDT_AGHS2_Tech_Seventh,NDT,AGHS2,Tech,Seventh,NA,9.567333333,12.43188889,6.246198667
NDT_AGHS2_HF_Initial,NDT,AGHS2,HF,Initial,4.871142857,0.466428571,NA,NA
NDT_AGHS2_HF_First,NDT,AGHS2,HF,First,15.49529412,0.940735294,NA,NA
NDT_AGHS2_HF_Second,NDT,AGHS2,HF,Second,39.57939394,2.266060606,NA,NA
NDT_AGHS2_HF_Third,NDT,AGHS2,HF,Third,NA,2.945652941,2.593878788,NA
NDT_AGHS2_HF_Fourth,NDT,AGHS2,HF,Fourth,NA,4.787152941,4.977470588,NA
NDT_AGHS2_HF_Fifth,NDT,AGHS2,HF,Fifth,NA,6.507793765,7.209117647,0.924111809
NDT_AGHS2_HF_Sixth,NDT,AGHS2,HF,Sixth,NA,6.571129412,9.517529412,3.458532353
NDT_AGHS2_HF_Seventh,NDT,AGHS2,HF,Seventh,NA,9.703675862,10.79072727,4.369446545
NDT_AGHS3_Tech_Initial,NDT,AGHS3,Tech,Initial,4.862222222,0.513194444,NA,NA
NDT_AGHS3_Tech_First,NDT,AGHS3,Tech,First,12.25666667,0.880454545,NA,NA
NDT_AGHS3_Tech_Second,NDT,AGHS3,Tech,Second,46.81647059,2.177058824,NA,NA
NDT_AGHS3_Tech_Third,NDT,AGHS3,Tech,Third,NA,3.215793939,2.616969697,NA
NDT_AGHS3_Tech_Fourth,NDT,AGHS3,Tech,Fourth,NA,5.498638182,6.421727273,NA
NDT_AGHS3_Tech_Fifth,NDT,AGHS3,Tech,Fifth,NA,6.903225806,9.316064516,1.864206076
NDT_AGHS3_Tech_Sixth,NDT,AGHS3,Tech,Sixth,NA,9.090211765,11.41505882,4.583645455
NDT_AGHS3_Tech_Seventh,NDT,AGHS3,Tech,Seventh,NA,9.379527273,12.59224242,4.892963636
NDT_AGHS3_HF_Initial,NDT,AGHS3,HF,Initial,5.345555556,0.545638889,NA,NA
NDT_AGHS3_HF_First,NDT,AGHS3,HF,First,14.49424242,0.874454545,NA,NA
NDT_AGHS3_HF_Second,NDT,AGHS3,HF,Second,35.8446875,1.9615625,NA,NA
NDT_AGHS3_HF_Third,NDT,AGHS3,HF,Third,NA,2.38363125,2.027089333,NA
NDT_AGHS3_HF_Fourth,NDT,AGHS3,HF,Fourth,NA,3.92668125,4.52425,NA
NDT_AGHS3_HF_Fifth,NDT,AGHS3,HF,Fifth,NA,5.420479063,7.1675625,0.56514999
NDT_AGHS3_HF_Sixth,NDT,AGHS3,HF,Sixth,NA,5.8626375,9.8504375,2.2906875
NDT_AGHS3_HF_Seventh,NDT,AGHS3,HF,Seventh,NA,8.539734,10.23535484,3.145339355
NDT_AGHS4_Tech_Initial,NDT,AGHS4,Tech,Initial,4.805833333,0.550472222,NA,NA
NDT_AGHS4_Tech_First,NDT,AGHS4,Tech,First,13.36138889,0.991138889,NA,NA
NDT_AGHS4_Tech_Second,NDT,AGHS4,Tech,Second,48.30722222,2.381666667,NA,NA
NDT_AGHS4_Tech_Third,NDT,AGHS4,Tech,Third,NA,3.603272222,3.851833333,NA
NDT_AGHS4_Tech_Fourth,NDT,AGHS4,Tech,Fourth,NA,5.825913333,7.589722222,NA
NDT_AGHS4_Tech_Fifth,NDT,AGHS4,Tech,Fifth,NA,7.388888889,10.69622222,1.618544447
NDT_AGHS4_Tech_Sixth,NDT,AGHS4,Tech,Sixth,NA,9.541933333,12.56594444,4.695608333
NDT_AGHS4_Tech_Seventh,NDT,AGHS4,Tech,Seventh,NA,9.4615,14.01233333,5.751127765
NDT_AGHS4_HF_Initial,NDT,AGHS4,HF,Initial,5.697272727,0.553333333,NA,NA
NDT_AGHS4_HF_First,NDT,AGHS4,HF,First,13.74147059,0.928176471,NA,NA
NDT_AGHS4_HF_Second,NDT,AGHS4,HF,Second,39.81529412,2.084411765,NA,NA
NDT_AGHS4_HF_Third,NDT,AGHS4,HF,Third,NA,2.842932353,2.948715882,NA
NDT_AGHS4_HF_Fourth,NDT,AGHS4,HF,Fourth,NA,4.5466,6.129970588,NA
NDT_AGHS4_HF_Fifth,NDT,AGHS4,HF,Fifth,NA,6.338607353,8.464176471,0.4915647
NDT_AGHS4_HF_Sixth,NDT,AGHS4,HF,Sixth,NA,6.2484,11.22082353,2.177582353
NDT_AGHS4_HF_Seventh,NDT,AGHS4,HF,Seventh,NA,9.656904828,12.4559375,3.098919529
