Plot,Aspect,Northerness,Easterness
bacher_creek_1_ctrl_one_yr,183.75,0.033164153,0.999449918
bacher_creek_2_ctrl_one_yr,183.75,0.033164153,0.999449918
bacher_creek_3_ctrl_one_yr,183.75,0.033164153,0.999449918
Berry_1_ctrl_one_yr,281,-0.171687645,-0.985151436
Berry_2_ctrl_one_yr,281,-0.171687645,-0.985151436
Berry_3_ctrl_one_yr,281,-0.171687645,-0.985151436
Berry_4_ctrl_one_yr,281,-0.171687645,-0.985151436
big_flat_1_ctrl_one_yr,56.2,0.9398287,-0.341646038
big_flat_2_ctrl_one_yr,56.2,0.9398287,-0.341646038
big_flat_3_ctrl_one_yr,56.2,0.9398287,-0.341646038
Bison_range_1_ctrl_one_yr,26.53,0.172667844,0.984980109
Bison_range_2_ctrl_one_yr,26.53,0.172667844,0.984980109
Bison_range_3_ctrl_one_yr,26.53,0.172667844,0.984980109
Bison_Range_CEST_ctrl_one_yr_1,185.06,-0.957102093,0.289750899
Bison_Range_CEST_ctrl_one_yr_2,185.06,-0.957102093,0.289750899
Bison_Range_CEST_ctrl_one_yr_3,185.06,-0.957102093,0.289750899
Bison_Range_PORE_ctrl_one_yr_1,15.77,-0.998076339,-0.061996948
Bison_Range_PORE_ctrl_one_yr_2,15.77,-0.998076339,-0.061996948
Bison_Range_PORE_ctrl_one_yr_3,15.77,-0.998076339,-0.061996948
Bottom_1_ctrl_one_yr,347.57,-0.411420272,0.911445752
Breaks_1_ctrl_one_yr,106.46,0.937941525,-0.346793449
Breaks_2_ctrl_one_yr,106.46,0.937941525,-0.346793449
Breaks_3_ctrl_one_yr,106.46,0.937941525,-0.346793449
Bunker_6_ctrl_one_yr,57.11,0.846546694,0.532314469
Canyon_Grassland_CCS1_PSSP1_ctrl_one_yr,310.62,-0.92196479,0.387273709
Canyon_Grassland_CCS1_PSSP2_ctrl_one_yr,310.62,-0.92196479,0.387273709
Canyon_Grassland_CCS1_PSSP3_ctrl_one_yr,310.62,-0.92196479,0.387273709
Canyon_Grassland_CCS2_FEID1_ctrl_one_yr,246.45,0.164275321,0.986414527
Canyon_Grassland_CCS2_FEID2_ctrl_one_yr,246.45,0.164275321,0.986414527
Canyon_Grassland_CCS2_FEID3_ctrl_one_yr,246.45,0.164275321,0.986414527
Canyon_Grassland_CCS3_SHRUB1_ctrl_one_yr,224.05,-0.54289013,-0.839803731
Canyon_Grassland_CCS3_SHRUB2_ctrl_one_yr,224.05,-0.54289013,-0.839803731
Canyon_Grassland_CCS3_SHRUB3_ctrl_one_yr,224.05,-0.54289013,-0.839803731
Canyon_Grassland_CG1_PSSP1_ctrl_one_yr,210.16,-0.947104032,0.320926708
Canyon_Grassland_CG1_PSSP2_ctrl_one_yr,210.16,-0.947104032,0.320926708
Canyon_Grassland_CG1_PSSP3_ctrl_one_yr,210.16,-0.947104032,0.320926708
Canyon_Grassland_CG2_FEID1_ctrl_one_yr,301.52,0.997344354,-0.072830206
Canyon_Grassland_CG2_FEID2_ctrl_one_yr,301.52,0.997344354,-0.072830206
Canyon_Grassland_CG2_FEID3_ctrl_one_yr,301.52,0.997344354,-0.072830206
Canyon_Grassland_CG3_SHRUB1_ctrl_one_yr,313.63,0.863178223,-0.504899351
Canyon_Grassland_CG3_SHRUB2_ctrl_one_yr,313.63,0.863178223,-0.504899351
Canyon_Grassland_CG3_SHRUB3_ctrl_one_yr,313.63,0.863178223,-0.504899351
Canyon_Grassland_TC1_PSSP1_ctrl_one_yr,264.95,0.492168611,0.87049989
Canyon_Grassland_TC1_PSSP2_ctrl_one_yr,264.95,0.492168611,0.87049989
Canyon_Grassland_TC1_PSSP3_ctrl_one_yr,264.95,0.492168611,0.87049989
Canyon_Grassland_TC2_SHRUB1_ctrl_one_yr,320.31,0.991241226,-0.132063738
Canyon_Grassland_TC2_SHRUB2_ctrl_one_yr,320.31,0.991241226,-0.132063738
Canyon_Grassland_TC2_SHRUB3_ctrl_one_yr,320.31,0.991241226,-0.132063738
Canyon_Grassland_TC3_FEID1_ctrl_one_yr,252.81,0.08809427,0.996112142
Canyon_Grassland_TC3_FEID2_ctrl_one_yr,252.81,0.08809427,0.996112142
Canyon_Grassland_TC3_FEID3_ctrl_one_yr,252.81,0.08809427,0.996112142
Canyon_Grassland_TM1_PSSP1_ctrl_one_yr,254.69,-0.975679815,-0.219200591
Canyon_Grassland_TM1_PSSP2_ctrl_one_yr,254.69,-0.975679815,-0.219200591
Canyon_Grassland_TM1_PSSP3_ctrl_one_yr,254.69,-0.975679815,-0.219200591
Canyon_Grassland_TM2_SHRUB1_ctrl_one_yr,53.55,-0.989803613,-0.142438785
Canyon_Grassland_TM2_SHRUB2_ctrl_one_yr,53.55,-0.989803613,-0.142438785
Canyon_Grassland_TM2_SHRUB3_ctrl_one_yr,53.55,-0.989803613,-0.142438785
Canyon_Grassland_TM3_FEID1_ctrl_one_yr,312.35,-0.236215261,-0.971700751
Canyon_Grassland_TM3_FEID2_ctrl_one_yr,312.35,-0.236215261,-0.971700751
Canyon_Grassland_TM3_FEID3_ctrl_one_yr,312.35,-0.236215261,-0.971700751
Canyon_Grassland_WWR1_FEID1_ctrl_one_yr,63.12,0.95877212,0.28417604
Canyon_Grassland_WWR1_FEID2_ctrl_one_yr,63.12,0.95877212,0.28417604
Canyon_Grassland_WWR1_FEID3_ctrl_one_yr,63.12,0.95877212,0.28417604
Canyon_Grassland_WWR2_PSSP1_ctrl_one_yr,108.06,0.319258132,0.947667792
Canyon_Grassland_WWR2_PSSP2_ctrl_one_yr,108.06,0.319258132,0.947667792
Canyon_Grassland_WWR2_PSSP3_ctrl_one_yr,108.06,0.319258132,0.947667792
Canyon_Grassland_WWR3_SHRUB1_ctrl_one_yr,114.59,0.078052387,0.996949259
Canyon_Grassland_WWR3_SHRUB2_ctrl_one_yr,114.59,0.078052387,0.996949259
Canyon_Grassland_WWR3_SHRUB3_ctrl_one_yr,114.59,0.078052387,0.996949259
catcreek_101_ctrl_one_yr,172.94,-0.988408964,-0.151814756
catcreek_101_ctrl_one_yr,172.94,-0.988408964,-0.151814756
catcreek_213_ctrl_one_yr,172.94,-0.988408964,-0.151814756
catcreek_213_ctrl_one_yr,172.94,-0.988408964,-0.151814756
catcreek_307_ctrl_one_yr,172.94,-0.988408964,-0.151814756
catcreek_307_ctrl_one_yr,172.94,-0.988408964,-0.151814756
chipmunk_road_1_ctrl_one_yr,33.26,-0.269888408,0.962891607
chipmunk_road_2_ctrl_one_yr,33.26,-0.269888408,0.962891607
chipmunk_road_3_ctrl_one_yr,33.26,-0.269888408,0.962891607
CSKT_1_ctrl_one_yr,291.17,-0.541886019,0.840451987
CSKT_2_ctrl_one_yr,291.17,-0.541886019,0.840451987
CSKT_3_ctrl_one_yr,291.17,-0.541886019,0.840451987
decker_A1_1_ctrl_one_yr,96.17,-0.344235188,0.938883452
decker_A2__ctrl_one_yr,96.17,-0.344235188,0.938883452
decker_B1__ctrl_one_yr,96.17,-0.344235188,0.938883452
decker_C1__ctrl_one_yr,96.17,-0.344235188,0.938883452
decker_C2__ctrl_one_yr,96.17,-0.344235188,0.938883452
decker_C3__ctrl_one_yr,96.17,-0.344235188,0.938883452
Draw_3_ctrl_one_yr,225.37,0.678798552,-0.734324537
FK_Cottonwood_1_ctrl_one_yr,218.51,0.168502823,-0.985701171
FK_Cottonwood_2_ctrl_one_yr,218.51,0.168502823,-0.985701171
FK_Cottonwood_3_ctrl_one_yr,218.51,0.168502823,-0.985701171
FK_East_Hill_1_ctrl_one_yr,37.61,0.996032166,-0.088993952
FK_East_Hill_2_ctrl_one_yr,37.61,0.996032166,-0.088993952
FK_East_Hill_3_ctrl_one_yr,37.61,0.996032166,-0.088993952
FK_Hogsback_1_ctrl_one_yr,181.33,0.635319687,-0.772249244
FK_Hogsback_2_ctrl_one_yr,181.33,0.635319687,-0.772249244
FK_Hogsback_3_ctrl_one_yr,181.33,0.635319687,-0.772249244
FK_Lone_Pine_1_ctrl_one_yr,154.05,-0.993739026,-0.111726217
FK_Lone_Pine_2_ctrl_one_yr,154.05,-0.993739026,-0.111726217
FK_Lone_Pine_3_ctrl_one_yr,154.05,-0.993739026,-0.111726217
Flem_1_ctrl_one_yr,274.04,-0.750856006,-0.660465941
Flem_2_ctrl_one_yr,274.04,-0.750856006,-0.660465941
Flem_3_ctrl_one_yr,274.04,-0.750856006,-0.660465941
four_mile_road_1_ctrl_one_yr,85.99,-0.392913691,-0.919575354
four_mile_road_2_ctrl_one_yr,85.99,-0.392913691,-0.919575354
four_mile_road_3_ctrl_one_yr,85.99,-0.392913691,-0.919575354
gravel_pit_1_ctrl_one_yr,17.44,0.160542646,-0.987028905
gravel_pit_2_ctrl_one_yr,17.44,0.160542646,-0.987028905
gravel_pit_3_ctrl_one_yr,17.44,0.160542646,-0.987028905
highway_20_1_ctrl_one_yr,-1,0.540302306,-0.841470985
highway_20_2_ctrl_one_yr,-1,0.540302306,-0.841470985
highway_20_3_ctrl_one_yr,-1,0.540302306,-0.841470985
Hyattville_1_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_10_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_106_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_118_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_124_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_133_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_145_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_163_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_172_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_178_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_187_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_211_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_214_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_25_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_31_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_40_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_49_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_55_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_61_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_7_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_73_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_76_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_88_ctrl_one_yr,328.76,-0.447142121,0.894462925
Hyattville_91_ctrl_one_yr,328.76,-0.447142121,0.894462925
ida_belle_1_ctrl_one_yr,59.6,-0.995929293,0.09013791
ida_belle_2_ctrl_one_yr,59.6,-0.995929293,0.09013791
ida_belle_3_ctrl_one_yr,59.6,-0.995929293,0.09013791
jackson_creek_1_ctrl_one_yr,92.8,0.122706683,-0.992442981
jackson_creek_2_ctrl_one_yr,92.8,0.122706683,-0.992442981
jackson_creek_3_ctrl_one_yr,92.8,0.122706683,-0.992442981
julia-herb2-1_17_ctrl_one_yr,111.61,0.083363937,-0.996519169
julia-herb2-2_13_ctrl_one_yr,111.61,0.083363937,-0.996519169
julia-herb2-3_10_ctrl_one_yr,111.61,0.083363937,-0.996519169
julia-herb2-4_2_ctrl_one_yr,111.61,0.083363937,-0.996519169
Kane_1_ctrl_one_yr,244.97,0.997246442,-0.074158838
Kane_2_ctrl_one_yr,244.97,0.997246442,-0.074158838
Kane_3_ctrl_one_yr,244.97,0.997246442,-0.074158838
Kane_4_ctrl_one_yr,244.97,0.997246442,-0.074158838
larkspur_101_ctrl_one_yr,331.01,-0.415074741,-0.909787315
larkspur_212_ctrl_one_yr,331.01,-0.415074741,-0.909787315
larkspur_313_ctrl_one_yr,331.01,-0.415074741,-0.909787315
larkspur_404_ctrl_one_yr,331.01,-0.415074741,-0.909787315
Masters_North_1_ctrl_one_yr,83.24,0.012205017,0.999925516
Masters_North_2_ctrl_one_yr,83.24,0.012205017,0.999925516
Masters_North_3_ctrl_one_yr,83.24,0.012205017,0.999925516
Masters_North_4_ctrl_one_yr,83.24,0.012205017,0.999925516
Masters_South_1_ctrl_one_yr,85.13,-0.953244957,-0.302198697
Masters_South_2_ctrl_one_yr,85.13,-0.953244957,-0.302198697
Masters_South_3_ctrl_one_yr,85.13,-0.953244957,-0.302198697
Masters_South_4_ctrl_one_yr,85.13,-0.953244957,-0.302198697
Missoula_Landfill_CEST_ctrl_one_yr_1,312.87,0.277826669,-0.960631221
Missoula_Landfill_CEST_ctrl_one_yr_2,312.87,0.277826669,-0.960631221
Missoula_Landfill_CEST_ctrl_one_yr_3,312.87,0.277826669,-0.960631221
Missoula_Landfill_PORE_ctrl_one_yr_1,232.85,0.931550033,0.363613169
Missoula_Landfill_PORE_ctrl_one_yr_2,232.85,0.931550033,0.363613169
Missoula_Landfill_PORE_ctrl_one_yr_3,232.85,0.931550033,0.363613169
MPG1_1_ctrl_one_yr,336.36,-0.97811712,-0.208055042
MPG1_2_ctrl_one_yr,336.36,-0.97811712,-0.208055042
MPG1_3_ctrl_one_yr,336.36,-0.97811712,-0.208055042
MPG2_1_ctrl_one_yr,255.69,-0.342711117,-0.939440839
MPG2_2_ctrl_one_yr,255.69,-0.342711117,-0.939440839
MPG2_3_ctrl_one_yr,255.69,-0.342711117,-0.939440839
MPG3_1_ctrl_one_yr,270.83,0.794245344,0.607597181
MPG3_2_ctrl_one_yr,270.83,0.794245344,0.607597181
MPG3_3_ctrl_one_yr,270.83,0.794245344,0.607597181
Oren_1_ctrl_one_yr,90.28,-0.677684613,0.735352681
Oren_2_ctrl_one_yr,90.28,-0.677684613,0.735352681
Oren_3_ctrl_one_yr,90.28,-0.677684613,0.735352681
Oren_4_ctrl_one_yr,90.28,-0.677684613,0.735352681
Palouse_Prairie_airport_a_FEID1_ctrl_one_yr,15.35,-0.93661237,0.350367333
Palouse_Prairie_airport_x_FEID1_ctrl_one_yr,316.83,-0.891179378,0.453651095
Palouse_Prairie_bethel_canyon_c_SHRUB1_ctrl_one_yr,88.72,0.727993462,0.685584072
Palouse_Prairie_bethel_canyon_d_SHRUB1_ctrl_one_yr,140.84,-0.861961925,0.506973016
Palouse_Prairie_driscoll_ridge_x_SHRUB1_ctrl_one_yr,271.97,-0.22041066,0.975407167
Palouse_Prairie_jonejack_mountain_b_PSSP1_ctrl_one_yr,186.92,-0.004762871,-0.999988657
Palouse_Prairie_jonejack_mountain_c_PSSP1_ctrl_one_yr,166.86,-0.93744147,-0.348142916
Palouse_Prairie_kamiak_butte_g_SHRUB1_ctrl_one_yr,57.66,0.443467841,0.896290284
Palouse_Prairie_kamiak_butte_h_SHRUB1_ctrl_one_yr,142.67,-0.26910703,-0.963110277
Palouse_Prairie_kamiak_butte_i_PSSP1_ctrl_one_yr,179.32,-0.969105411,-0.246646917
Palouse_Prairie_kamiak_butte_j_SHRUB1_ctrl_one_yr,124.61,0.494352843,-0.869261334
Palouse_Prairie_kamiak_butte_l_PSSP1_ctrl_one_yr,153.81,-0.991814069,0.127690459
Palouse_Prairie_larson_road_a_SHRUB1_ctrl_one_yr,241.67,-0.97306245,0.230541685
Palouse_Prairie_larson_road_b_SHRUB1_ctrl_one_yr,13.81,0.321361538,0.946956579
Palouse_Prairie_larson_road_x_FEID1_ctrl_one_yr,33.9,-0.791510826,0.611155146
Palouse_Prairie_paradise_ridge_b_PSSP1_ctrl_one_yr,268.73,0.12351191,-0.99234309
Palouse_Prairie_paradise_ridge_c_SHRUB1_ctrl_one_yr,93.62,0.809333648,-0.587349169
Palouse_Prairie_paradise_ridge_e_PSSP1_ctrl_one_yr,131.98,0.999451962,0.033102501
Palouse_Prairie_paradise_ridge_f_PSSP1_ctrl_one_yr,105.95,0.649286643,-0.760543789
Palouse_Prairie_paradise_ridge_h_PSSP1_ctrl_one_yr,315.71,0.02006034,0.999798771
Palouse_Prairie_paradise_ridge_i_SHRUB1_ctrl_one_yr,286.45,-0.84455191,-0.535473689
Palouse_Prairie_paradise_ridge_l_FEID1_ctrl_one_yr,127.71,-0.45778084,0.889065072
Palouse_Prairie_paradise_ridge_x_SHRUB1_ctrl_one_yr,244.83,0.977141024,-0.212592142
Palouse_Prairie_rimrock_road_b_FEID1_ctrl_one_yr,254.33,-0.99035436,0.138557722
Palouse_Prairie_rimrock_road_d_FEID1_ctrl_one_yr,226.07,0.992238624,-0.124348352
Palouse_Prairie_rimrock_road_e_FEID1_ctrl_one_yr,74.62,0.712161661,-0.702015505
