"","Year","Location","Family","Block","DBH","GLB"
"1","Third","LA Tech","AGH2",1,1.48,"AGH2_LA Tech_1"
"2","Third","LA Tech","AGH2",2,0.86,"AGH2_LA Tech_2"
"3","Third","LA Tech","AGH2",3,2.85,"AGH2_LA Tech_3"
"4","Third","LA Tech","AGH2",4,1.58,"AGH2_LA Tech_4"
"5","Third","LA Tech","AGH25",1,1.45,"AGH25_LA Tech_1"
"6","Third","LA Tech","AGH25",2,1.37,"AGH25_LA Tech_2"
"7","Third","LA Tech","AGH25",3,2.03,"AGH25_LA Tech_3"
"8","Third","LA Tech","AGH25",4,2.68,"AGH25_LA Tech_4"
"9","Third","LA Tech","AGHS1",1,2.77,"AGHS1_LA Tech_1"
"10","Third","LA Tech","AGHS1",2,3.81,"AGHS1_LA Tech_2"
"11","Third","LA Tech","AGHS1",3,3.98,"AGHS1_LA Tech_3"
"12","Third","LA Tech","AGHS1",4,3.58,"AGHS1_LA Tech_4"
"13","Third","LA Tech","AGHS2",1,2.91,"AGHS2_LA Tech_1"
"14","Third","LA Tech","AGHS2",2,3.84,"AGHS2_LA Tech_2"
"15","Third","LA Tech","AGHS2",3,4.97,"AGHS2_LA Tech_3"
"16","Third","LA Tech","AGHS2",4,4.12,"AGHS2_LA Tech_4"
"17","Third","LA Tech","AGHS3",1,2.31,"AGHS3_LA Tech_1"
"18","Third","LA Tech","AGHS3",2,2.25,"AGHS3_LA Tech_2"
"19","Third","LA Tech","AGHS3",3,3.11,"AGHS3_LA Tech_3"
"20","Third","LA Tech","AGHS3",4,2.83,"AGHS3_LA Tech_4"
"21","Third","LA Tech","AGHS4",1,3.5,"AGHS4_LA Tech_1"
"22","Third","LA Tech","AGHS4",2,3.39,"AGHS4_LA Tech_2"
"23","Third","LA Tech","AGHS4",3,4.09,"AGHS4_LA Tech_3"
"24","Third","LA Tech","AGHS4",4,4.43,"AGHS4_LA Tech_4"
"25","Third","Hill Farm","AGH2",1,1.51,"AGH2_Hill Farm_1"
"26","Third","Hill Farm","AGH2",2,1.29,"AGH2_Hill Farm_2"
"27","Third","Hill Farm","AGH2",3,1.52,"AGH2_Hill Farm_3"
"28","Third","Hill Farm","AGH2",4,1.88,"AGH2_Hill Farm_4"
"29","Third","Hill Farm","AGH25",1,1.5,"AGH25_Hill Farm_1"
"30","Third","Hill Farm","AGH25",2,1.58,"AGH25_Hill Farm_2"
"31","Third","Hill Farm","AGH25",3,1.41,"AGH25_Hill Farm_3"
"32","Third","Hill Farm","AGH25",4,1.72,"AGH25_Hill Farm_4"
"33","Third","Hill Farm","AGHS1",1,2.84,"AGHS1_Hill Farm_1"
"34","Third","Hill Farm","AGHS1",2,2.72,"AGHS1_Hill Farm_2"
"35","Third","Hill Farm","AGHS1",3,3.47,"AGHS1_Hill Farm_3"
"36","Third","Hill Farm","AGHS1",4,2.54,"AGHS1_Hill Farm_4"
"37","Third","Hill Farm","AGHS2",1,2.66,"AGHS2_Hill Farm_1"
"38","Third","Hill Farm","AGHS2",2,1.4,"AGHS2_Hill Farm_2"
"39","Third","Hill Farm","AGHS2",3,3.34,"AGHS2_Hill Farm_3"
"40","Third","Hill Farm","AGHS2",4,2.99,"AGHS2_Hill Farm_4"
"41","Third","Hill Farm","AGHS3",1,2.28,"AGHS3_Hill Farm_1"
"42","Third","Hill Farm","AGHS3",2,1.39,"AGHS3_Hill Farm_2"
"43","Third","Hill Farm","AGHS3",3,2.64,"AGHS3_Hill Farm_3"
"44","Third","Hill Farm","AGHS3",4,1.67,"AGHS3_Hill Farm_4"
"45","Third","Hill Farm","AGHS4",1,2.76,"AGHS4_Hill Farm_1"
"46","Third","Hill Farm","AGHS4",2,3.69,"AGHS4_Hill Farm_2"
"47","Third","Hill Farm","AGHS4",3,2.63,"AGHS4_Hill Farm_3"
"48","Third","Hill Farm","AGHS4",4,2.67,"AGHS4_Hill Farm_4"
"49","Fourth","LA Tech","AGH2",1,4.97,"AGH2_LA Tech_1"
"50","Fourth","LA Tech","AGH2",2,4.14,"AGH2_LA Tech_2"
"51","Fourth","LA Tech","AGH2",3,6.37,"AGH2_LA Tech_3"
"52","Fourth","LA Tech","AGH2",4,4.97,"AGH2_LA Tech_4"
"53","Fourth","LA Tech","AGH25",1,5.12,"AGH25_LA Tech_1"
"54","Fourth","LA Tech","AGH25",2,5.46,"AGH25_LA Tech_2"
"55","Fourth","LA Tech","AGH25",3,6,"AGH25_LA Tech_3"
"56","Fourth","LA Tech","AGH25",4,5.84,"AGH25_LA Tech_4"
"57","Fourth","LA Tech","AGHS1",1,6.4,"AGHS1_LA Tech_1"
"58","Fourth","LA Tech","AGHS1",2,7.21,"AGHS1_LA Tech_2"
"59","Fourth","LA Tech","AGHS1",3,7.16,"AGHS1_LA Tech_3"
"60","Fourth","LA Tech","AGHS1",4,5.7,"AGHS1_LA Tech_4"
"61","Fourth","LA Tech","AGHS2",1,6.74,"AGHS2_LA Tech_1"
"62","Fourth","LA Tech","AGHS2",2,6.82,"AGHS2_LA Tech_2"
"63","Fourth","LA Tech","AGHS2",3,7.52,"AGHS2_LA Tech_3"
"64","Fourth","LA Tech","AGHS2",4,6.5,"AGHS2_LA Tech_4"
"65","Fourth","LA Tech","AGHS3",1,6.27,"AGHS3_LA Tech_1"
"66","Fourth","LA Tech","AGHS3",2,6.18,"AGHS3_LA Tech_2"
"67","Fourth","LA Tech","AGHS3",3,6.94,"AGHS3_LA Tech_3"
"68","Fourth","LA Tech","AGHS3",4,6.32,"AGHS3_LA Tech_4"
"69","Fourth","LA Tech","AGHS4",1,7.24,"AGHS4_LA Tech_1"
"70","Fourth","LA Tech","AGHS4",2,7.54,"AGHS4_LA Tech_2"
"71","Fourth","LA Tech","AGHS4",3,7.55,"AGHS4_LA Tech_3"
"72","Fourth","LA Tech","AGHS4",4,8.03,"AGHS4_LA Tech_4"
"73","Fourth","Hill Farm","AGH2",1,3.26,"AGH2_Hill Farm_1"
"74","Fourth","Hill Farm","AGH2",2,3.84,"AGH2_Hill Farm_2"
"75","Fourth","Hill Farm","AGH2",3,3.78,"AGH2_Hill Farm_3"
"76","Fourth","Hill Farm","AGH2",4,3,"AGH2_Hill Farm_4"
"77","Fourth","Hill Farm","AGH25",1,3.5,"AGH25_Hill Farm_1"
"78","Fourth","Hill Farm","AGH25",2,3.76,"AGH25_Hill Farm_2"
"79","Fourth","Hill Farm","AGH25",3,3.57,"AGH25_Hill Farm_3"
"80","Fourth","Hill Farm","AGH25",4,3.97,"AGH25_Hill Farm_4"
"81","Fourth","Hill Farm","AGHS1",1,5.16,"AGHS1_Hill Farm_1"
"82","Fourth","Hill Farm","AGHS1",2,5.16,"AGHS1_Hill Farm_2"
"83","Fourth","Hill Farm","AGHS1",3,5.94,"AGHS1_Hill Farm_3"
"84","Fourth","Hill Farm","AGHS1",4,4.55,"AGHS1_Hill Farm_4"
"85","Fourth","Hill Farm","AGHS2",1,4.02,"AGHS2_Hill Farm_1"
"86","Fourth","Hill Farm","AGHS2",2,4.12,"AGHS2_Hill Farm_2"
"87","Fourth","Hill Farm","AGHS2",3,5.77,"AGHS2_Hill Farm_3"
"88","Fourth","Hill Farm","AGHS2",4,5.79,"AGHS2_Hill Farm_4"
"89","Fourth","Hill Farm","AGHS3",1,4.93,"AGHS3_Hill Farm_1"
"90","Fourth","Hill Farm","AGHS3",2,3.21,"AGHS3_Hill Farm_2"
"91","Fourth","Hill Farm","AGHS3",3,5.49,"AGHS3_Hill Farm_3"
"92","Fourth","Hill Farm","AGHS3",4,4.45,"AGHS3_Hill Farm_4"
"93","Fourth","Hill Farm","AGHS4",1,5.72,"AGHS4_Hill Farm_1"
"94","Fourth","Hill Farm","AGHS4",2,7.02,"AGHS4_Hill Farm_2"
"95","Fourth","Hill Farm","AGHS4",3,5.57,"AGHS4_Hill Farm_3"
"96","Fourth","Hill Farm","AGHS4",4,6.11,"AGHS4_Hill Farm_4"
"97","Fifth","LA Tech","AGH2",1,7.79,"AGH2_LA Tech_1"
"98","Fifth","LA Tech","AGH2",2,7.18,"AGH2_LA Tech_2"
"99","Fifth","LA Tech","AGH2",3,9.37,"AGH2_LA Tech_3"
"100","Fifth","LA Tech","AGH2",4,7.68,"AGH2_LA Tech_4"
"101","Fifth","LA Tech","AGH25",1,7.77,"AGH25_LA Tech_1"
"102","Fifth","LA Tech","AGH25",2,7.94,"AGH25_LA Tech_2"
"103","Fifth","LA Tech","AGH25",3,9.43,"AGH25_LA Tech_3"
"104","Fifth","LA Tech","AGH25",4,8.64,"AGH25_LA Tech_4"
"105","Fifth","LA Tech","AGHS1",1,8.21,"AGHS1_LA Tech_1"
"106","Fifth","LA Tech","AGHS1",2,9.57,"AGHS1_LA Tech_2"
"107","Fifth","LA Tech","AGHS1",3,9.99,"AGHS1_LA Tech_3"
"108","Fifth","LA Tech","AGHS1",4,8.07,"AGHS1_LA Tech_4"
"109","Fifth","LA Tech","AGHS2",1,8.64,"AGHS2_LA Tech_1"
"110","Fifth","LA Tech","AGHS2",2,9.17,"AGHS2_LA Tech_2"
"111","Fifth","LA Tech","AGHS2",3,9.85,"AGHS2_LA Tech_3"
"112","Fifth","LA Tech","AGHS2",4,9.12,"AGHS2_LA Tech_4"
"113","Fifth","LA Tech","AGHS3",1,9.09,"AGHS3_LA Tech_1"
"114","Fifth","LA Tech","AGHS3",2,9.22,"AGHS3_LA Tech_2"
"115","Fifth","LA Tech","AGHS3",3,9.83,"AGHS3_LA Tech_3"
"116","Fifth","LA Tech","AGHS3",4,9.21,"AGHS3_LA Tech_4"
"117","Fifth","LA Tech","AGHS4",1,10.27,"AGHS4_LA Tech_1"
"118","Fifth","LA Tech","AGHS4",2,10.53,"AGHS4_LA Tech_2"
"119","Fifth","LA Tech","AGHS4",3,10.78,"AGHS4_LA Tech_3"
"120","Fifth","LA Tech","AGHS4",4,11.2,"AGHS4_LA Tech_4"
"121","Fifth","Hill Farm","AGH2",1,5.93,"AGH2_Hill Farm_1"
"122","Fifth","Hill Farm","AGH2",2,6.19,"AGH2_Hill Farm_2"
"123","Fifth","Hill Farm","AGH2",3,6.76,"AGH2_Hill Farm_3"
"124","Fifth","Hill Farm","AGH2",4,5.64,"AGH2_Hill Farm_4"
"125","Fifth","Hill Farm","AGH25",1,6.6,"AGH25_Hill Farm_1"
"126","Fifth","Hill Farm","AGH25",2,5.93,"AGH25_Hill Farm_2"
"127","Fifth","Hill Farm","AGH25",3,7.11,"AGH25_Hill Farm_3"
"128","Fifth","Hill Farm","AGH25",4,6.49,"AGH25_Hill Farm_4"
"129","Fifth","Hill Farm","AGHS1",1,8.25,"AGHS1_Hill Farm_1"
"130","Fifth","Hill Farm","AGHS1",2,6.77,"AGHS1_Hill Farm_2"
"131","Fifth","Hill Farm","AGHS1",3,6.97,"AGHS1_Hill Farm_3"
"132","Fifth","Hill Farm","AGHS1",4,6.35,"AGHS1_Hill Farm_4"
"133","Fifth","Hill Farm","AGHS2",1,7.8,"AGHS2_Hill Farm_1"
"134","Fifth","Hill Farm","AGHS2",2,6.35,"AGHS2_Hill Farm_2"
"135","Fifth","Hill Farm","AGHS2",3,7.34,"AGHS2_Hill Farm_3"
"136","Fifth","Hill Farm","AGHS2",4,7.48,"AGHS2_Hill Farm_4"
"137","Fifth","Hill Farm","AGHS3",1,8.68,"AGHS3_Hill Farm_1"
"138","Fifth","Hill Farm","AGHS3",2,5.24,"AGHS3_Hill Farm_2"
"139","Fifth","Hill Farm","AGHS3",3,7.85,"AGHS3_Hill Farm_3"
"140","Fifth","Hill Farm","AGHS3",4,7.2,"AGHS3_Hill Farm_4"
"141","Fifth","Hill Farm","AGHS4",1,8.89,"AGHS4_Hill Farm_1"
"142","Fifth","Hill Farm","AGHS4",2,9.03,"AGHS4_Hill Farm_2"
"143","Fifth","Hill Farm","AGHS4",3,8.27,"AGHS4_Hill Farm_3"
"144","Fifth","Hill Farm","AGHS4",4,7.76,"AGHS4_Hill Farm_4"
"145","Sixth","LA Tech","AGH2",1,9.86,"AGH2_LA Tech_1"
"146","Sixth","LA Tech","AGH2",2,9.14,"AGH2_LA Tech_2"
"147","Sixth","LA Tech","AGH2",3,10.78,"AGH2_LA Tech_3"
"148","Sixth","LA Tech","AGH2",4,9.87,"AGH2_LA Tech_4"
"149","Sixth","LA Tech","AGH25",1,9.76,"AGH25_LA Tech_1"
"150","Sixth","LA Tech","AGH25",2,9.75,"AGH25_LA Tech_2"
"151","Sixth","LA Tech","AGH25",3,10.67,"AGH25_LA Tech_3"
"152","Sixth","LA Tech","AGH25",4,11.06,"AGH25_LA Tech_4"
"153","Sixth","LA Tech","AGHS1",1,10.36,"AGHS1_LA Tech_1"
"154","Sixth","LA Tech","AGHS1",2,11.49,"AGHS1_LA Tech_2"
"155","Sixth","LA Tech","AGHS1",3,11.35,"AGHS1_LA Tech_3"
"156","Sixth","LA Tech","AGHS1",4,10.92,"AGHS1_LA Tech_4"
"157","Sixth","LA Tech","AGHS2",1,10.36,"AGHS2_LA Tech_1"
"158","Sixth","LA Tech","AGHS2",2,11.12,"AGHS2_LA Tech_2"
"159","Sixth","LA Tech","AGHS2",3,11.63,"AGHS2_LA Tech_3"
"160","Sixth","LA Tech","AGHS2",4,10.84,"AGHS2_LA Tech_4"
"161","Sixth","LA Tech","AGHS3",1,10.89,"AGHS3_LA Tech_1"
"162","Sixth","LA Tech","AGHS3",2,11.65,"AGHS3_LA Tech_2"
"163","Sixth","LA Tech","AGHS3",3,11.94,"AGHS3_LA Tech_3"
"164","Sixth","LA Tech","AGHS3",4,11.26,"AGHS3_LA Tech_4"
"165","Sixth","LA Tech","AGHS4",1,12.39,"AGHS4_LA Tech_1"
"166","Sixth","LA Tech","AGHS4",2,12.22,"AGHS4_LA Tech_2"
"167","Sixth","LA Tech","AGHS4",3,12.95,"AGHS4_LA Tech_3"
"168","Sixth","LA Tech","AGHS4",4,12.7,"AGHS4_LA Tech_4"
"169","Sixth","Hill Farm","AGH2",1,7.96,"AGH2_Hill Farm_1"
"170","Sixth","Hill Farm","AGH2",2,9.43,"AGH2_Hill Farm_2"
"171","Sixth","Hill Farm","AGH2",3,8.89,"AGH2_Hill Farm_3"
"172","Sixth","Hill Farm","AGH2",4,8.45,"AGH2_Hill Farm_4"
"173","Sixth","Hill Farm","AGH25",1,9.4,"AGH25_Hill Farm_1"
"174","Sixth","Hill Farm","AGH25",2,8.89,"AGH25_Hill Farm_2"
"175","Sixth","Hill Farm","AGH25",3,8.7,"AGH25_Hill Farm_3"
"176","Sixth","Hill Farm","AGH25",4,8.44,"AGH25_Hill Farm_4"
"177","Sixth","Hill Farm","AGHS1",1,9.4,"AGHS1_Hill Farm_1"
"178","Sixth","Hill Farm","AGHS1",2,9.45,"AGHS1_Hill Farm_2"
"179","Sixth","Hill Farm","AGHS1",3,9.91,"AGHS1_Hill Farm_3"
"180","Sixth","Hill Farm","AGHS1",4,8.75,"AGHS1_Hill Farm_4"
"181","Sixth","Hill Farm","AGHS2",1,9.4,"AGHS2_Hill Farm_1"
"182","Sixth","Hill Farm","AGHS2",2,8.72,"AGHS2_Hill Farm_2"
"183","Sixth","Hill Farm","AGHS2",3,10.1,"AGHS2_Hill Farm_3"
"184","Sixth","Hill Farm","AGHS2",4,9.82,"AGHS2_Hill Farm_4"
"185","Sixth","Hill Farm","AGHS3",1,10.71,"AGHS3_Hill Farm_1"
"186","Sixth","Hill Farm","AGHS3",2,8.51,"AGHS3_Hill Farm_2"
"187","Sixth","Hill Farm","AGHS3",3,10.16,"AGHS3_Hill Farm_3"
"188","Sixth","Hill Farm","AGHS3",4,10.16,"AGHS3_Hill Farm_4"
"189","Sixth","Hill Farm","AGHS4",1,11.43,"AGHS4_Hill Farm_1"
"190","Sixth","Hill Farm","AGHS4",2,11.71,"AGHS4_Hill Farm_2"
"191","Sixth","Hill Farm","AGHS4",3,10.72,"AGHS4_Hill Farm_3"
"192","Sixth","Hill Farm","AGHS4",4,11.06,"AGHS4_Hill Farm_4"
"193","Seventh","LA Tech","AGH2",1,11.92,"AGH2_LA Tech_1"
"194","Seventh","LA Tech","AGH2",2,11.3,"AGH2_LA Tech_2"
"195","Seventh","LA Tech","AGH2",3,11.81,"AGH2_LA Tech_3"
"196","Seventh","LA Tech","AGH2",4,11.33,"AGH2_LA Tech_4"
"197","Seventh","LA Tech","AGH25",1,11.43,"AGH25_LA Tech_1"
"198","Seventh","LA Tech","AGH25",2,11.34,"AGH25_LA Tech_2"
"199","Seventh","LA Tech","AGH25",3,11.83,"AGH25_LA Tech_3"
"200","Seventh","LA Tech","AGH25",4,11.67,"AGH25_LA Tech_4"
"201","Seventh","LA Tech","AGHS1",1,11.78,"AGHS1_LA Tech_1"
"202","Seventh","LA Tech","AGHS1",2,12.64,"AGHS1_LA Tech_2"
"203","Seventh","LA Tech","AGHS1",3,12.11,"AGHS1_LA Tech_3"
"204","Seventh","LA Tech","AGHS1",4,11.28,"AGHS1_LA Tech_4"
"205","Seventh","LA Tech","AGHS2",1,11.72,"AGHS2_LA Tech_1"
"206","Seventh","LA Tech","AGHS2",2,12.61,"AGHS2_LA Tech_2"
"207","Seventh","LA Tech","AGHS2",3,12.56,"AGHS2_LA Tech_3"
"208","Seventh","LA Tech","AGHS2",4,12.06,"AGHS2_LA Tech_4"
"209","Seventh","LA Tech","AGHS3",1,12.42,"AGHS3_LA Tech_1"
"210","Seventh","LA Tech","AGHS3",2,12.56,"AGHS3_LA Tech_2"
"211","Seventh","LA Tech","AGHS3",3,12.97,"AGHS3_LA Tech_3"
"212","Seventh","LA Tech","AGHS3",4,11.62,"AGHS3_LA Tech_4"
"213","Seventh","LA Tech","AGHS4",1,13.72,"AGHS4_LA Tech_1"
"214","Seventh","LA Tech","AGHS4",2,13.44,"AGHS4_LA Tech_2"
"215","Seventh","LA Tech","AGHS4",3,14.06,"AGHS4_LA Tech_3"
"216","Seventh","LA Tech","AGHS4",4,13.94,"AGHS4_LA Tech_4"
"217","Seventh","Hill Farm","AGH2",1,9.58,"AGH2_Hill Farm_1"
"218","Seventh","Hill Farm","AGH2",2,9.78,"AGH2_Hill Farm_2"
"219","Seventh","Hill Farm","AGH2",3,10.59,"AGH2_Hill Farm_3"
"220","Seventh","Hill Farm","AGH2",4,9.72,"AGH2_Hill Farm_4"
"221","Seventh","Hill Farm","AGH25",1,10.97,"AGH25_Hill Farm_1"
"222","Seventh","Hill Farm","AGH25",2,8.93,"AGH25_Hill Farm_2"
"223","Seventh","Hill Farm","AGH25",3,9.73,"AGH25_Hill Farm_3"
"224","Seventh","Hill Farm","AGH25",4,10.31,"AGH25_Hill Farm_4"
"225","Seventh","Hill Farm","AGHS1",1,10.35,"AGHS1_Hill Farm_1"
"226","Seventh","Hill Farm","AGHS1",2,10.02,"AGHS1_Hill Farm_2"
"227","Seventh","Hill Farm","AGHS1",3,11.4,"AGHS1_Hill Farm_3"
"228","Seventh","Hill Farm","AGHS1",4,9.72,"AGHS1_Hill Farm_4"
"229","Seventh","Hill Farm","AGHS2",1,11.05,"AGHS2_Hill Farm_1"
"230","Seventh","Hill Farm","AGHS2",2,9.65,"AGHS2_Hill Farm_2"
"231","Seventh","Hill Farm","AGHS2",3,10.45,"AGHS2_Hill Farm_3"
"232","Seventh","Hill Farm","AGHS2",4,11.53,"AGHS2_Hill Farm_4"
"233","Seventh","Hill Farm","AGHS3",1,12.17,"AGHS3_Hill Farm_1"
"234","Seventh","Hill Farm","AGHS3",2,9.45,"AGHS3_Hill Farm_2"
"235","Seventh","Hill Farm","AGHS3",3,10.74,"AGHS3_Hill Farm_3"
"236","Seventh","Hill Farm","AGHS3",4,8.81,"AGHS3_Hill Farm_4"
"237","Seventh","Hill Farm","AGHS4",1,12.22,"AGHS4_Hill Farm_1"
"238","Seventh","Hill Farm","AGHS4",2,12.55,"AGHS4_Hill Farm_2"
"239","Seventh","Hill Farm","AGHS4",3,12.2,"AGHS4_Hill Farm_3"
"240","Seventh","Hill Farm","AGHS4",4,12,"AGHS4_Hill Farm_4"
