"","Year","Location","Family","Block","Height","GLB"
"1","Initial","LA Tech","AGH2",1,0.46,"AGH2_LA Tech_1"
"2","Initial","LA Tech","AGH2",2,0.48,"AGH2_LA Tech_2"
"3","Initial","LA Tech","AGH2",3,0.49,"AGH2_LA Tech_3"
"4","Initial","LA Tech","AGH2",4,0.38,"AGH2_LA Tech_4"
"5","Initial","LA Tech","AGH25",1,0.46,"AGH25_LA Tech_1"
"6","Initial","LA Tech","AGH25",2,0.42,"AGH25_LA Tech_2"
"7","Initial","LA Tech","AGH25",3,0.38,"AGH25_LA Tech_3"
"8","Initial","LA Tech","AGH25",4,0.36,"AGH25_LA Tech_4"
"9","Initial","LA Tech","AGHS1",1,0.54,"AGHS1_LA Tech_1"
"10","Initial","LA Tech","AGHS1",2,0.49,"AGHS1_LA Tech_2"
"11","Initial","LA Tech","AGHS1",3,0.49,"AGHS1_LA Tech_3"
"12","Initial","LA Tech","AGHS1",4,0.51,"AGHS1_LA Tech_4"
"13","Initial","LA Tech","AGHS2",1,0.44,"AGHS2_LA Tech_1"
"14","Initial","LA Tech","AGHS2",2,0.45,"AGHS2_LA Tech_2"
"15","Initial","LA Tech","AGHS2",3,0.45,"AGHS2_LA Tech_3"
"16","Initial","LA Tech","AGHS2",4,0.46,"AGHS2_LA Tech_4"
"17","Initial","LA Tech","AGHS3",1,0.54,"AGHS3_LA Tech_1"
"18","Initial","LA Tech","AGHS3",2,0.51,"AGHS3_LA Tech_2"
"19","Initial","LA Tech","AGHS3",3,0.46,"AGHS3_LA Tech_3"
"20","Initial","LA Tech","AGHS3",4,0.54,"AGHS3_LA Tech_4"
"21","Initial","LA Tech","AGHS4",1,0.57,"AGHS4_LA Tech_1"
"22","Initial","LA Tech","AGHS4",2,0.56,"AGHS4_LA Tech_2"
"23","Initial","LA Tech","AGHS4",3,0.51,"AGHS4_LA Tech_3"
"24","Initial","LA Tech","AGHS4",4,0.56,"AGHS4_LA Tech_4"
"25","Initial","Hill Farm","AGH2",1,0.43,"AGH2_Hill Farm_1"
"26","Initial","Hill Farm","AGH2",2,0.4,"AGH2_Hill Farm_2"
"27","Initial","Hill Farm","AGH2",3,0.41,"AGH2_Hill Farm_3"
"28","Initial","Hill Farm","AGH2",4,0.45,"AGH2_Hill Farm_4"
"29","Initial","Hill Farm","AGH25",1,0.37,"AGH25_Hill Farm_1"
"30","Initial","Hill Farm","AGH25",2,0.41,"AGH25_Hill Farm_2"
"31","Initial","Hill Farm","AGH25",3,0.4,"AGH25_Hill Farm_3"
"32","Initial","Hill Farm","AGH25",4,0.49,"AGH25_Hill Farm_4"
"33","Initial","Hill Farm","AGHS1",1,0.56,"AGHS1_Hill Farm_1"
"34","Initial","Hill Farm","AGHS1",2,0.54,"AGHS1_Hill Farm_2"
"35","Initial","Hill Farm","AGHS1",3,0.59,"AGHS1_Hill Farm_3"
"36","Initial","Hill Farm","AGHS1",4,0.58,"AGHS1_Hill Farm_4"
"37","Initial","Hill Farm","AGHS2",1,0.47,"AGHS2_Hill Farm_1"
"38","Initial","Hill Farm","AGHS2",2,0.47,"AGHS2_Hill Farm_2"
"39","Initial","Hill Farm","AGHS2",3,0.44,"AGHS2_Hill Farm_3"
"40","Initial","Hill Farm","AGHS2",4,0.49,"AGHS2_Hill Farm_4"
"41","Initial","Hill Farm","AGHS3",1,0.52,"AGHS3_Hill Farm_1"
"42","Initial","Hill Farm","AGHS3",2,0.54,"AGHS3_Hill Farm_2"
"43","Initial","Hill Farm","AGHS3",3,0.52,"AGHS3_Hill Farm_3"
"44","Initial","Hill Farm","AGHS3",4,0.6,"AGHS3_Hill Farm_4"
"45","Initial","Hill Farm","AGHS4",1,0.55,"AGHS4_Hill Farm_1"
"46","Initial","Hill Farm","AGHS4",2,0.51,"AGHS4_Hill Farm_2"
"47","Initial","Hill Farm","AGHS4",3,0.57,"AGHS4_Hill Farm_3"
"48","Initial","Hill Farm","AGHS4",4,0.59,"AGHS4_Hill Farm_4"
"49","First","LA Tech","AGH2",1,0.86,"AGH2_LA Tech_1"
"50","First","LA Tech","AGH2",2,0.59,"AGH2_LA Tech_2"
"51","First","LA Tech","AGH2",3,0.77,"AGH2_LA Tech_3"
"52","First","LA Tech","AGH2",4,0.58,"AGH2_LA Tech_4"
"53","First","LA Tech","AGH25",1,0.67,"AGH25_LA Tech_1"
"54","First","LA Tech","AGH25",2,0.53,"AGH25_LA Tech_2"
"55","First","LA Tech","AGH25",3,0.71,"AGH25_LA Tech_3"
"56","First","LA Tech","AGH25",4,0.77,"AGH25_LA Tech_4"
"57","First","LA Tech","AGHS1",1,0.88,"AGHS1_LA Tech_1"
"58","First","LA Tech","AGHS1",2,1.09,"AGHS1_LA Tech_2"
"59","First","LA Tech","AGHS1",3,1,"AGHS1_LA Tech_3"
"60","First","LA Tech","AGHS1",4,0.83,"AGHS1_LA Tech_4"
"61","First","LA Tech","AGHS2",1,0.87,"AGHS2_LA Tech_1"
"62","First","LA Tech","AGHS2",2,0.89,"AGHS2_LA Tech_2"
"63","First","LA Tech","AGHS2",3,1.08,"AGHS2_LA Tech_3"
"64","First","LA Tech","AGHS2",4,1.16,"AGHS2_LA Tech_4"
"65","First","LA Tech","AGHS3",1,0.94,"AGHS3_LA Tech_1"
"66","First","LA Tech","AGHS3",2,0.86,"AGHS3_LA Tech_2"
"67","First","LA Tech","AGHS3",3,0.9,"AGHS3_LA Tech_3"
"68","First","LA Tech","AGHS3",4,0.81,"AGHS3_LA Tech_4"
"69","First","LA Tech","AGHS4",1,0.85,"AGHS4_LA Tech_1"
"70","First","LA Tech","AGHS4",2,0.96,"AGHS4_LA Tech_2"
"71","First","LA Tech","AGHS4",3,1.09,"AGHS4_LA Tech_3"
"72","First","LA Tech","AGHS4",4,1.07,"AGHS4_LA Tech_4"
"73","First","Hill Farm","AGH2",1,0.68,"AGH2_Hill Farm_1"
"74","First","Hill Farm","AGH2",2,0.74,"AGH2_Hill Farm_2"
"75","First","Hill Farm","AGH2",3,0.68,"AGH2_Hill Farm_3"
"76","First","Hill Farm","AGH2",4,0.67,"AGH2_Hill Farm_4"
"77","First","Hill Farm","AGH25",1,0.85,"AGH25_Hill Farm_1"
"78","First","Hill Farm","AGH25",2,0.73,"AGH25_Hill Farm_2"
"79","First","Hill Farm","AGH25",3,0.65,"AGH25_Hill Farm_3"
"80","First","Hill Farm","AGH25",4,0.69,"AGH25_Hill Farm_4"
"81","First","Hill Farm","AGHS1",1,1.05,"AGHS1_Hill Farm_1"
"82","First","Hill Farm","AGHS1",2,1.1,"AGHS1_Hill Farm_2"
"83","First","Hill Farm","AGHS1",3,0.96,"AGHS1_Hill Farm_3"
"84","First","Hill Farm","AGHS1",4,0.95,"AGHS1_Hill Farm_4"
"85","First","Hill Farm","AGHS2",1,0.77,"AGHS2_Hill Farm_1"
"86","First","Hill Farm","AGHS2",2,0.85,"AGHS2_Hill Farm_2"
"87","First","Hill Farm","AGHS2",3,1.02,"AGHS2_Hill Farm_3"
"88","First","Hill Farm","AGHS2",4,1.09,"AGHS2_Hill Farm_4"
"89","First","Hill Farm","AGHS3",1,0.97,"AGHS3_Hill Farm_1"
"90","First","Hill Farm","AGHS3",2,0.76,"AGHS3_Hill Farm_2"
"91","First","Hill Farm","AGHS3",3,0.97,"AGHS3_Hill Farm_3"
"92","First","Hill Farm","AGHS3",4,0.8,"AGHS3_Hill Farm_4"
"93","First","Hill Farm","AGHS4",1,0.9,"AGHS4_Hill Farm_1"
"94","First","Hill Farm","AGHS4",2,1.05,"AGHS4_Hill Farm_2"
"95","First","Hill Farm","AGHS4",3,0.76,"AGHS4_Hill Farm_3"
"96","First","Hill Farm","AGHS4",4,0.99,"AGHS4_Hill Farm_4"
"97","Second","LA Tech","AGH2",1,1.6,"AGH2_LA Tech_1"
"98","Second","LA Tech","AGH2",2,1.44,"AGH2_LA Tech_2"
"99","Second","LA Tech","AGH2",3,1.98,"AGH2_LA Tech_3"
"100","Second","LA Tech","AGH2",4,1.34,"AGH2_LA Tech_4"
"101","Second","LA Tech","AGH25",1,1.6,"AGH25_LA Tech_1"
"102","Second","LA Tech","AGH25",2,1.57,"AGH25_LA Tech_2"
"103","Second","LA Tech","AGH25",3,1.74,"AGH25_LA Tech_3"
"104","Second","LA Tech","AGH25",4,2.07,"AGH25_LA Tech_4"
"105","Second","LA Tech","AGHS1",1,2.08,"AGHS1_LA Tech_1"
"106","Second","LA Tech","AGHS1",2,2.78,"AGHS1_LA Tech_2"
"107","Second","LA Tech","AGHS1",3,2.68,"AGHS1_LA Tech_3"
"108","Second","LA Tech","AGHS1",4,2.42,"AGHS1_LA Tech_4"
"109","Second","LA Tech","AGHS2",1,2.3,"AGHS2_LA Tech_1"
"110","Second","LA Tech","AGHS2",2,2.58,"AGHS2_LA Tech_2"
"111","Second","LA Tech","AGHS2",3,3.07,"AGHS2_LA Tech_3"
"112","Second","LA Tech","AGHS2",4,3.01,"AGHS2_LA Tech_4"
"113","Second","LA Tech","AGHS3",1,2.02,"AGHS3_LA Tech_1"
"114","Second","LA Tech","AGHS3",2,2.05,"AGHS3_LA Tech_2"
"115","Second","LA Tech","AGHS3",3,2.38,"AGHS3_LA Tech_3"
"116","Second","LA Tech","AGHS3",4,2.27,"AGHS3_LA Tech_4"
"117","Second","LA Tech","AGHS4",1,2.14,"AGHS4_LA Tech_1"
"118","Second","LA Tech","AGHS4",2,2.32,"AGHS4_LA Tech_2"
"119","Second","LA Tech","AGHS4",3,2.57,"AGHS4_LA Tech_3"
"120","Second","LA Tech","AGHS4",4,2.51,"AGHS4_LA Tech_4"
"121","Second","Hill Farm","AGH2",1,1.69,"AGH2_Hill Farm_1"
"122","Second","Hill Farm","AGH2",2,1.75,"AGH2_Hill Farm_2"
"123","Second","Hill Farm","AGH2",3,1.47,"AGH2_Hill Farm_3"
"124","Second","Hill Farm","AGH2",4,1.38,"AGH2_Hill Farm_4"
"125","Second","Hill Farm","AGH25",1,1.75,"AGH25_Hill Farm_1"
"126","Second","Hill Farm","AGH25",2,1.62,"AGH25_Hill Farm_2"
"127","Second","Hill Farm","AGH25",3,1.36,"AGH25_Hill Farm_3"
"128","Second","Hill Farm","AGH25",4,1.67,"AGH25_Hill Farm_4"
"129","Second","Hill Farm","AGHS1",1,2.26,"AGHS1_Hill Farm_1"
"130","Second","Hill Farm","AGHS1",2,2.46,"AGHS1_Hill Farm_2"
"131","Second","Hill Farm","AGHS1",3,2.41,"AGHS1_Hill Farm_3"
"132","Second","Hill Farm","AGHS1",4,1.72,"AGHS1_Hill Farm_4"
"133","Second","Hill Farm","AGHS2",1,2.26,"AGHS2_Hill Farm_1"
"134","Second","Hill Farm","AGHS2",2,1.69,"AGHS2_Hill Farm_2"
"135","Second","Hill Farm","AGHS2",3,2.63,"AGHS2_Hill Farm_3"
"136","Second","Hill Farm","AGHS2",4,2.48,"AGHS2_Hill Farm_4"
"137","Second","Hill Farm","AGHS3",1,2.34,"AGHS3_Hill Farm_1"
"138","Second","Hill Farm","AGHS3",2,1.7,"AGHS3_Hill Farm_2"
"139","Second","Hill Farm","AGHS3",3,2.1,"AGHS3_Hill Farm_3"
"140","Second","Hill Farm","AGHS3",4,1.8,"AGHS3_Hill Farm_4"
"141","Second","Hill Farm","AGHS4",1,1.73,"AGHS4_Hill Farm_1"
"142","Second","Hill Farm","AGHS4",2,2.5,"AGHS4_Hill Farm_2"
"143","Second","Hill Farm","AGHS4",3,1.79,"AGHS4_Hill Farm_3"
"144","Second","Hill Farm","AGHS4",4,2.24,"AGHS4_Hill Farm_4"
"145","Third","LA Tech","AGH2",1,2.59,"AGH2_LA Tech_1"
"146","Third","LA Tech","AGH2",2,2.35,"AGH2_LA Tech_2"
"147","Third","LA Tech","AGH2",3,3.29,"AGH2_LA Tech_3"
"148","Third","LA Tech","AGH2",4,2.37,"AGH2_LA Tech_4"
"149","Third","LA Tech","AGH25",1,2.64,"AGH25_LA Tech_1"
"150","Third","LA Tech","AGH25",2,2.71,"AGH25_LA Tech_2"
"151","Third","LA Tech","AGH25",3,2.97,"AGH25_LA Tech_3"
"152","Third","LA Tech","AGH25",4,3.05,"AGH25_LA Tech_4"
"153","Third","LA Tech","AGHS1",1,3.36,"AGHS1_LA Tech_1"
"154","Third","LA Tech","AGHS1",2,4.16,"AGHS1_LA Tech_2"
"155","Third","LA Tech","AGHS1",3,4.25,"AGHS1_LA Tech_3"
"156","Third","LA Tech","AGHS1",4,3.82,"AGHS1_LA Tech_4"
"157","Third","LA Tech","AGHS2",1,3.42,"AGHS2_LA Tech_1"
"158","Third","LA Tech","AGHS2",2,3.95,"AGHS2_LA Tech_2"
"159","Third","LA Tech","AGHS2",3,4.62,"AGHS2_LA Tech_3"
"160","Third","LA Tech","AGHS2",4,4.1,"AGHS2_LA Tech_4"
"161","Third","LA Tech","AGHS3",1,3.01,"AGHS3_LA Tech_1"
"162","Third","LA Tech","AGHS3",2,2.96,"AGHS3_LA Tech_2"
"163","Third","LA Tech","AGHS3",3,3.51,"AGHS3_LA Tech_3"
"164","Third","LA Tech","AGHS3",4,3.4,"AGHS3_LA Tech_4"
"165","Third","LA Tech","AGHS4",1,3.25,"AGHS4_LA Tech_1"
"166","Third","LA Tech","AGHS4",2,3.48,"AGHS4_LA Tech_2"
"167","Third","LA Tech","AGHS4",3,3.75,"AGHS4_LA Tech_3"
"168","Third","LA Tech","AGHS4",4,3.94,"AGHS4_LA Tech_4"
"169","Third","Hill Farm","AGH2",1,2.32,"AGH2_Hill Farm_1"
"170","Third","Hill Farm","AGH2",2,2.31,"AGH2_Hill Farm_2"
"171","Third","Hill Farm","AGH2",3,2.2,"AGH2_Hill Farm_3"
"172","Third","Hill Farm","AGH2",4,2.38,"AGH2_Hill Farm_4"
"173","Third","Hill Farm","AGH25",1,2.39,"AGH25_Hill Farm_1"
"174","Third","Hill Farm","AGH25",2,2.54,"AGH25_Hill Farm_2"
"175","Third","Hill Farm","AGH25",3,2.16,"AGH25_Hill Farm_3"
"176","Third","Hill Farm","AGH25",4,2.41,"AGH25_Hill Farm_4"
"177","Third","Hill Farm","AGHS1",1,3.03,"AGHS1_Hill Farm_1"
"178","Third","Hill Farm","AGHS1",2,3.18,"AGHS1_Hill Farm_2"
"179","Third","Hill Farm","AGHS1",3,3.42,"AGHS1_Hill Farm_3"
"180","Third","Hill Farm","AGHS1",4,2.78,"AGHS1_Hill Farm_4"
"181","Third","Hill Farm","AGHS2",1,2.69,"AGHS2_Hill Farm_1"
"182","Third","Hill Farm","AGHS2",2,2.4,"AGHS2_Hill Farm_2"
"183","Third","Hill Farm","AGHS2",3,3.52,"AGHS2_Hill Farm_3"
"184","Third","Hill Farm","AGHS2",4,3.11,"AGHS2_Hill Farm_4"
"185","Third","Hill Farm","AGHS3",1,2.67,"AGHS3_Hill Farm_1"
"186","Third","Hill Farm","AGHS3",2,1.94,"AGHS3_Hill Farm_2"
"187","Third","Hill Farm","AGHS3",3,2.75,"AGHS3_Hill Farm_3"
"188","Third","Hill Farm","AGHS3",4,2.22,"AGHS3_Hill Farm_4"
"189","Third","Hill Farm","AGHS4",1,2.71,"AGHS4_Hill Farm_1"
"190","Third","Hill Farm","AGHS4",2,3.23,"AGHS4_Hill Farm_2"
"191","Third","Hill Farm","AGHS4",3,2.75,"AGHS4_Hill Farm_3"
"192","Third","Hill Farm","AGHS4",4,2.65,"AGHS4_Hill Farm_4"
